INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,geometry_wkt
Intersection 64,485359.9701245901,7513450.479909959,6,3,37,5,"POLYGON ((116.857776 -22.485576, 116.857533 -22.485531, 116.85745 -22.485499, 116.857193 -22.485395, 116.857193 -22.485178, 116.857433 -22.485055, 116.85753 -22.485009, 116.857582 -22.484998, 116.858018 -22.484998, 116.858106 -22.485396, 116.858019 -22.485577, 116.857776 -22.485576))"
Intersection 65,507880.3187490677,7509949.778464086,4,4,36,5,"POLYGON ((117.076865 -22.51724, 117.076573 -22.517195, 117.076491 -22.517163, 117.076156 -22.517014, 117.076156 -22.516797, 117.076573 -22.516707, 117.076983 -22.516707, 117.076993 -22.517023, 117.076993 -22.51724, 117.076865 -22.51724))"
Intersection 66,481928.3676537964,7510909.697769919,4,3,36,5,"POLYGON ((116.824023 -22.50858, 116.823946 -22.508471, 116.823946 -22.508381, 116.823995 -22.508245, 116.824029 -22.508169, 116.824238 -22.507744, 116.824472 -22.507744, 116.824568 -22.508111, 116.824568 -22.508519, 116.824062 -22.50858, 116.824023 -22.50858))"
Intersection 67,486492.0896497945,7513131.95802895,4,3,36,5,"POLYGON ((116.868612 -22.488567, 116.868467 -22.488522, 116.868403 -22.488476, 116.86835 -22.488413, 116.86835 -22.488368, 116.868399 -22.488052, 116.868434 -22.487943, 116.868662 -22.487763, 116.86871 -22.487763, 116.868793 -22.487795, 116.86889 -22.48784, 116.868987 -22.48793, 116.869021 -22.488007, 116.869021 -22.488188, 116.869002 -22.488251, 116.868875 -22.488413, 116.868758 -22.488522, 116.868744 -22.488535, 116.868661 -22.488567, 116.868612 -22.488567))"
Intersection 68,508269.1511200421,7510020.109655944,4,3,36,5,"POLYGON ((117.080261 -22.516703, 117.08022 -22.516696, 117.080096 -22.51655, 117.079957 -22.516317, 117.079957 -22.516272, 117.080073 -22.516163, 117.080365 -22.516073, 117.080756 -22.516026, 117.080803 -22.516027, 117.080921 -22.516179, 117.080885 -22.516212, 117.080691 -22.516393, 117.080594 -22.516484, 117.080261 -22.516703))"
Intersection 69,504666.75407683174,7510341.437974752,6,3,36,5,"POLYGON ((117.045048 -22.513729, 117.044902 -22.513485, 117.044902 -22.51344, 117.044937 -22.513363, 117.044985 -22.513318, 117.045082 -22.513273, 117.045165 -22.513241, 117.045408 -22.51315, 117.045457 -22.51315, 117.045849 -22.513241, 117.045914 -22.513304, 117.045914 -22.513349, 117.04585 -22.513457, 117.045539 -22.513606, 117.045457 -22.513638, 117.045214 -22.513729, 117.045048 -22.513729))"
Intersection 70,482039.326202506,7513570.737732689,11,4,35,5,"POLYGON ((116.82502 -22.484494, 116.825009 -22.48449, 116.824879 -22.484326, 116.825342 -22.483798, 116.825537 -22.483688, 116.825717 -22.483856, 116.825731 -22.483869, 116.825765 -22.483946, 116.825765 -22.484348, 116.825719 -22.48444, 116.825682 -22.484474, 116.82502 -22.484494))"
Intersection 71,483240.972784588,7512153.945757789,15,4,35,5,"POLYGON ((116.837007 -22.497436, 116.836876 -22.497359, 116.83673 -22.497224, 116.836633 -22.497088, 116.836586 -22.496999, 116.836591 -22.496929, 116.836914 -22.496508, 116.837173 -22.496539, 116.837576 -22.496981, 116.837524 -22.497166, 116.837055 -22.497436, 116.837007 -22.497436))"
Intersection 72,492564.5228553694,7512435.700566142,4,3,35,5,"POLYGON ((116.927571 -22.494747, 116.927488 -22.494715, 116.927391 -22.49467, 116.92728 -22.494612, 116.92726 -22.494548, 116.92726 -22.494503, 116.92728 -22.494395, 116.927391 -22.494336, 116.927488 -22.494291, 116.927571 -22.494259, 116.927863 -22.49426, 116.928152 -22.49435, 116.928152 -22.494567, 116.92806 -22.494646, 116.927963 -22.494691, 116.927765 -22.494747, 116.927571 -22.494747))"
Intersection 73,494734.54696670745,7512493.459013761,4,3,35,5,"POLYGON ((116.949057 -22.494304, 116.948862 -22.494259, 116.948342 -22.494046, 116.948294 -22.494001, 116.948348 -22.493816, 116.948814 -22.493725, 116.949174 -22.493726, 116.949174 -22.493942, 116.949173 -22.494195, 116.949163 -22.494304, 116.949057 -22.494304))"
Intersection 74,484254.9753521842,7517599.802308711,6,3,34,5,"POLYGON ((116.846971 -22.448151, 116.846817 -22.448134, 116.846723 -22.448069, 116.846652 -22.44798, 116.84665 -22.447864, 116.846667 -22.447786, 116.846765 -22.447441, 116.846998 -22.447441, 116.847163 -22.447506, 116.847338 -22.447606, 116.847338 -22.447741, 116.847228 -22.448009, 116.847179 -22.448054, 116.847109 -22.448089, 116.846971 -22.448151))"
Intersection 75,481556.5404751491,7512442.457933644,43,5,33,5,"POLYGON ((116.820677 -22.494844, 116.820385 -22.494754, 116.820303 -22.494722, 116.820254 -22.494677, 116.820289 -22.494196, 116.820318 -22.494058, 116.820335 -22.493983, 116.82045 -22.493936, 116.820532 -22.493905, 116.820738 -22.493865, 116.820992 -22.493975, 116.821183 -22.494241, 116.821183 -22.494463, 116.820891 -22.49474, 116.820774 -22.494845, 116.820677 -22.494844))"
Intersection 76,512239.6219839369,7510756.289066494,33,4,33,5,"POLYGON ((117.119142 -22.510045, 117.118943 -22.510011, 117.118554 -22.50984, 117.118539 -22.509775, 117.118602 -22.50959, 117.118748 -22.50923, 117.118981 -22.509229, 117.119466 -22.509499, 117.119466 -22.509716, 117.119419 -22.509833, 117.119142 -22.510045))"
Intersection 77,482392.55258261587,7513194.501719364,5,3,33,5,"POLYGON ((116.828949 -22.488033, 116.828867 -22.488001, 116.828397 -22.487716, 116.828397 -22.487499, 116.828711 -22.487195, 116.828901 -22.487138, 116.829082 -22.487139, 116.829164 -22.487227, 116.829164 -22.487247, 116.829114 -22.487957, 116.828998 -22.488033, 116.828949 -22.488033))"
Intersection 78,483923.7878777063,7513609.422944705,13,3,33,5,"POLYGON ((116.843781 -22.484301, 116.843419 -22.484221, 116.843419 -22.484145, 116.843468 -22.483455, 116.843925 -22.483404, 116.843954 -22.483404, 116.844042 -22.483513, 116.844042 -22.483558, 116.843946 -22.484148, 116.843781 -22.484301))"
Intersection 79,515365.89205548825,7509864.514107892,2,3,33,5,"POLYGON ((117.149599 -22.518092, 117.14921 -22.517957, 117.149112 -22.517912, 117.148996 -22.517804, 117.148995 -22.517758, 117.149206 -22.517367, 117.149306 -22.517198, 117.149355 -22.517198, 117.149437 -22.51723, 117.149534 -22.517275, 117.149583 -22.51732, 117.149715 -22.517532, 117.149764 -22.517938, 117.149647 -22.518092, 117.149599 -22.518092))"
Intersection 80,515303.7549524822,7509892.060184815,3,3,33,5,"POLYGON ((117.148869 -22.517822, 117.148592 -22.5177, 117.148397 -22.51761, 117.148373 -22.517596, 117.148349 -22.517565, 117.148372 -22.51738, 117.14864 -22.517185, 117.148771 -22.517108, 117.14916 -22.517108, 117.149243 -22.517139, 117.149285 -22.517179, 117.148986 -22.517713, 117.148888 -22.517822, 117.148869 -22.517822))"
Intersection 81,512674.93871312647,7510863.73911037,9,7,32,5,"POLYGON ((117.123628 -22.508899, 117.122924 -22.508821, 117.122737 -22.508691, 117.122728 -22.508654, 117.122843 -22.508457, 117.122989 -22.508427, 117.123385 -22.508457, 117.123467 -22.508489, 117.123482 -22.508502, 117.123794 -22.508791, 117.123794 -22.508811, 117.123677 -22.508899, 117.123628 -22.508899))"
Intersection 82,490190.9109902732,7512697.2527225325,2,4,32,5,"POLYGON ((116.904677 -22.492386, 116.904178 -22.492251, 116.904178 -22.492034, 116.904702 -22.491786, 116.904891 -22.491872, 116.905039 -22.49217, 116.905039 -22.492387, 116.904677 -22.492386))"
Intersection 83,504384.89237799693,7510257.281050808,2,4,32,5,"POLYGON ((117.042371 -22.514588, 117.042326 -22.513847, 117.042326 -22.513766, 117.042559 -22.513766, 117.043033 -22.514145, 117.043094 -22.514253, 117.043094 -22.514298, 117.043033 -22.514362, 117.042978 -22.514407, 117.042491 -22.514588, 117.042371 -22.514588))"
Intersection 84,512151.7302796535,7511693.783281913,8,4,32,5,"POLYGON ((117.117839 -22.501586, 117.117839 -22.501369, 117.117963 -22.500801, 117.118079 -22.500737, 117.118143 -22.500723, 117.118288 -22.500769, 117.118453 -22.500922, 117.118454 -22.501012, 117.118454 -22.501265, 117.118405 -22.501373, 117.118319 -22.501484, 117.118163 -22.501554, 117.11808 -22.501586, 117.117839 -22.501586))"
Intersection 85,484969.9325208054,7513510.987375034,3,3,32,5,"POLYGON ((116.853596 -22.484985, 116.853514 -22.484954, 116.853465 -22.484908, 116.853507 -22.484723, 116.853684 -22.484317, 116.853694 -22.484317, 116.853777 -22.484349, 116.854068 -22.48453, 116.854354 -22.484769, 116.854354 -22.484986, 116.853596 -22.484985))"
Intersection 86,482759.6574445116,7513927.455069119,20,4,31,5,"POLYGON ((116.832677 -22.481331, 116.832083 -22.481093, 116.831889 -22.480958, 116.83187 -22.480941, 116.831903 -22.480881, 116.831971 -22.480773, 116.832424 -22.480579, 116.832623 -22.480643, 116.832865 -22.481198, 116.832865 -22.4812, 116.83275 -22.481306, 116.832677 -22.481331))"
Intersection 87,482544.53286316956,7514345.160763468,3,4,31,5,"POLYGON ((116.83004 -22.477546, 116.829875 -22.477393, 116.829983 -22.477202, 116.83029 -22.476828, 116.830304 -22.476814, 116.830421 -22.476706, 116.83044 -22.476706, 116.830538 -22.476814, 116.830664 -22.476977, 116.830663 -22.477194, 116.830585 -22.477401, 116.83004 -22.477546))"
Intersection 88,484996.67554014095,7512458.3195898505,3,4,31,5,"POLYGON ((116.854205 -22.494578, 116.854121 -22.494562, 116.85399 -22.494485, 116.853927 -22.494426, 116.853859 -22.494318, 116.853762 -22.494092, 116.853762 -22.494007, 116.854219 -22.493939, 116.854267 -22.493939, 116.854335 -22.493975, 116.854384 -22.494047, 116.854432 -22.494183, 116.85445 -22.494351, 116.854426 -22.49451, 116.854376 -22.494557, 116.854205 -22.494578))"
Intersection 89,482412.96364689065,7514202.334173002,3,3,31,5,"POLYGON ((116.82899 -22.479009, 116.82896 -22.478999, 116.828844 -22.47889, 116.828718 -22.478366, 116.828718 -22.478149, 116.829034 -22.478037, 116.82935 -22.478195, 116.829462 -22.478353, 116.829043 -22.478967, 116.829009 -22.478999, 116.82899 -22.479009))"
Intersection 90,512482.2761309456,7510749.375703548,25,3,31,5,"POLYGON ((117.12133 -22.510179, 117.121131 -22.510109, 117.120912 -22.50976, 117.120912 -22.509543, 117.121227 -22.509335, 117.121397 -22.509231, 117.121766 -22.509497, 117.121846 -22.509579, 117.12189 -22.509742, 117.12133 -22.510179))"
Intersection 91,481899.81454119086,7511885.598282048,5,3,30,5,"POLYGON ((116.824248 -22.499835, 116.824178 -22.499823, 116.824027 -22.499766, 116.823602 -22.499423, 116.823554 -22.499378, 116.823595 -22.499193, 116.824138 -22.498999, 116.824337 -22.499051, 116.824343 -22.49967, 116.824248 -22.499835))"
Intersection 92,515553.0164600227,7509914.832392238,6,3,30,5,"POLYGON ((117.151732 -22.517556, 117.15164 -22.517548, 117.150934 -22.517414, 117.150725 -22.517317, 117.15086 -22.517016, 117.151071 -22.516822, 117.151236 -22.516821, 117.151333 -22.516912, 117.151722 -22.517363, 117.151757 -22.51744, 117.151757 -22.517485, 117.151744 -22.517533, 117.151732 -22.517556))"
Intersection 93,481774.440423293,7511904.645867455,6,4,29,5,"POLYGON ((116.822581 -22.499603, 116.822436 -22.499512, 116.822339 -22.499422, 116.822414 -22.499237, 116.822888 -22.498886, 116.823088 -22.498818, 116.823282 -22.498953, 116.823287 -22.498958, 116.823199 -22.499138, 116.822795 -22.499513, 116.822679 -22.499603, 116.822581 -22.499603))"
Intersection 94,482114.154647145,7514090.43409904,4,4,29,5,"POLYGON ((116.825931 -22.479822, 116.825732 -22.479774, 116.825687 -22.4797, 116.826156 -22.479037, 116.82619 -22.479005, 116.826202 -22.478993, 116.826238 -22.479005, 116.826355 -22.479113, 116.826515 -22.479461, 116.826305 -22.479746, 116.825931 -22.479822))"
Intersection 95,481913.6098254421,7512211.058808429,1,4,28,5,"POLYGON ((116.824009 -22.49686, 116.823669 -22.496411, 116.823669 -22.496365, 116.823749 -22.496257, 116.824181 -22.495982, 116.824341 -22.496095, 116.824609 -22.496394, 116.824632 -22.496457, 116.824632 -22.496502, 116.824609 -22.49661, 116.824242 -22.49686, 116.824009 -22.49686))"
Intersection 96,515904.2127176491,7509624.515918528,34,4,28,5,"POLYGON ((117.154443 -22.520057, 117.154289 -22.520053, 117.1542 -22.519963, 117.1542 -22.519922, 117.154346 -22.519696, 117.154787 -22.519579, 117.155013 -22.519631, 117.155082 -22.519858, 117.155004 -22.519949, 117.154677 -22.520057, 117.154443 -22.520057))"
Intersection 97,479224.97330635175,7514285.005873101,5,3,28,5,"POLYGON ((116.79766 -22.478014, 116.797544 -22.477942, 116.797544 -22.477905, 116.797968 -22.477332, 116.798016 -22.477287, 116.798215 -22.477324, 116.798549 -22.477675, 116.798438 -22.477834, 116.797709 -22.478014, 116.79766 -22.478014))"
Intersection 98,482116.461914297,7513831.482206628,3,3,28,5,"POLYGON ((116.825923 -22.482131, 116.825737 -22.481604, 116.825846 -22.481444, 116.82593 -22.481427, 116.826151 -22.481496, 116.82656 -22.481792, 116.826575 -22.481806, 116.826691 -22.481914, 116.826691 -22.481934, 116.826575 -22.482023, 116.826157 -22.482131, 116.825923 -22.482131))"
Intersection 99,482289.57353613066,7513970.84480062,3,3,28,5,"POLYGON ((116.828027 -22.48088, 116.8275 -22.480804, 116.827383 -22.480785, 116.827383 -22.480695, 116.827466 -22.480574, 116.827807 -22.480122, 116.827872 -22.480062, 116.828037 -22.480215, 116.828245 -22.480806, 116.828245 -22.480807, 116.828027 -22.48088))"
Intersection 100,482322.37171585683,7514398.009940483,3,3,28,5,"POLYGON ((116.827878 -22.477069, 116.827679 -22.476993, 116.827679 -22.476992, 116.827714 -22.476915, 116.827811 -22.47678, 116.828152 -22.476328, 116.8282 -22.476283, 116.828223 -22.476262, 116.82856 -22.47651, 116.828602 -22.476549, 116.828594 -22.476631, 116.828387 -22.476854, 116.828178 -22.47695, 116.827878 -22.477069))"
Intersection 101,482128.7996101043,7515629.41848813,1,3,28,5,"POLYGON ((116.826075 -22.466, 116.826026 -22.465955, 116.825992 -22.465878, 116.825895 -22.465607, 116.825895 -22.465517, 116.826065 -22.465413, 116.826547 -22.465138, 116.826596 -22.465138, 116.826712 -22.465244, 116.826712 -22.465247, 116.826599 -22.465556, 116.826494 -22.46575, 116.826274 -22.465945, 116.826075 -22.466))"
Intersection 102,482752.43748555484,7513126.03777897,2,3,28,5,"POLYGON ((116.832448 -22.488624, 116.831831 -22.488275, 116.831808 -22.488254, 116.831914 -22.48809, 116.832464 -22.487761, 116.832663 -22.487803, 116.832663 -22.487838, 116.832613 -22.488528, 116.832497 -22.488624, 116.832448 -22.488624))"
Intersection 103,482788.3122673338,7513230.968225476,2,3,28,5,"POLYGON ((116.832752 -22.48771, 116.832587 -22.487557, 116.832198 -22.487079, 116.832304 -22.486916, 116.832353 -22.486916, 116.832974 -22.487017, 116.833139 -22.487171, 116.832823 -22.487644, 116.832752 -22.48771))"
Intersection 104,482832.5875727498,7513694.285937884,3,3,28,5,"POLYGON ((116.832676 -22.483339, 116.832677 -22.483122, 116.833068 -22.482741, 116.833267 -22.482703, 116.833529 -22.482942, 116.833529 -22.483159, 116.833106 -22.483321, 116.832989 -22.483339, 116.832676 -22.483339))"
Intersection 105,486801.46260319673,7513130.491820464,2,3,28,5,"POLYGON ((116.871369 -22.488434, 116.871312 -22.48796, 116.871432 -22.48781, 116.871477 -22.487807, 116.871709 -22.487933, 116.872146 -22.488204, 116.872195 -22.488249, 116.872126 -22.488434, 116.871369 -22.488434))"
Intersection 106,515084.8236689159,7510091.7042693375,2,3,28,5,"POLYGON ((117.146599 -22.516091, 117.146417 -22.515999, 117.14634 -22.515386, 117.146435 -22.515213, 117.146484 -22.515213, 117.147105 -22.515438, 117.147105 -22.515655, 117.146599 -22.516091))"
Intersection 107,481779.7404124395,7512556.732282436,13,3,27,5,"POLYGON ((116.823158 -22.493628, 116.823012 -22.493582, 116.822369 -22.493356, 116.822369 -22.493139, 116.822964 -22.493094, 116.823101 -22.493094, 116.823226 -22.493214, 116.823269 -22.493373, 116.823274 -22.493474, 116.823274 -22.493519, 116.82318 -22.493628, 116.823158 -22.493628))"
Intersection 108,483535.2031257875,7513054.83580861,3,3,27,5,"POLYGON ((116.840225 -22.489128, 116.839918 -22.489096, 116.839719 -22.489065, 116.839466 -22.488947, 116.839414 -22.488762, 116.839462 -22.488717, 116.839545 -22.488685, 116.839801 -22.488624, 116.840274 -22.48855, 116.840313 -22.48855, 116.840356 -22.488735, 116.840264 -22.489128, 116.840225 -22.489128))"
Intersection 109,500014.08159194206,7510957.463352635,4,4,26,5,"POLYGON ((117.000396 -22.508209, 116.999954 -22.508036, 116.999754 -22.507924, 116.999661 -22.507728, 116.999757 -22.507556, 116.999806 -22.507556, 117.000535 -22.507781, 117.000617 -22.507813, 117.000649 -22.507843, 117.000548 -22.507991, 117.000396 -22.508209))"
Intersection 110,482345.84169093287,7514480.328857899,2,3,26,5,"POLYGON ((116.828331 -22.476378, 116.828215 -22.476295, 116.828148 -22.475709, 116.828167 -22.475637, 116.828235 -22.475529, 116.828284 -22.475529, 116.828415 -22.475606, 116.82843 -22.475619, 116.828643 -22.475818, 116.828709 -22.475896, 116.828635 -22.476102, 116.828497 -22.47627, 116.82838 -22.476378, 116.828331 -22.476378))"
Intersection 111,483083.357655201,7513732.99438341,4,3,26,5,"POLYGON ((116.835775 -22.483039, 116.835145 -22.482709, 116.835061 -22.482601, 116.835061 -22.482555, 116.835177 -22.482447, 116.835469 -22.482447, 116.835537 -22.482466, 116.835775 -22.48257, 116.835869 -22.482634, 116.83594 -22.482723, 116.835974 -22.482963, 116.835974 -22.482971, 116.835775 -22.483039))"
Intersection 112,486388.1392659429,7512667.225046637,5,3,26,5,"POLYGON ((116.867539 -22.492812, 116.867422 -22.492727, 116.867422 -22.492703, 116.867569 -22.491981, 116.867733 -22.491872, 116.867768 -22.491904, 116.867802 -22.491981, 116.867851 -22.492117, 116.867917 -22.49233, 116.867843 -22.492536, 116.867794 -22.492626, 116.86773 -22.49271, 116.867588 -22.492812, 116.867539 -22.492812))"
Intersection 113,515302.9656242736,7510028.735482364,1,3,26,5,"POLYGON ((117.149111 -22.516557, 117.148965 -22.516512, 117.148445 -22.5163, 117.148347 -22.516255, 117.148299 -22.51621, 117.148358 -22.516024, 117.148916 -22.515843, 117.148964 -22.515843, 117.14908 -22.515998, 117.149193 -22.516372, 117.149162 -22.516557, 117.149111 -22.516557))"
Intersection 114,514554.5770944107,7510183.084057069,3,4,25,5,"POLYGON ((117.141408 -22.515055, 117.141079 -22.514802, 117.141068 -22.514739, 117.141068 -22.514694, 117.141079 -22.514586, 117.141184 -22.514585, 117.141944 -22.51463, 117.141945 -22.514847, 117.141876 -22.514969, 117.141834 -22.514988, 117.14166 -22.51505, 117.141642 -22.515055, 117.141408 -22.515055))"
Intersection 115,512731.7542607992,7510759.22241445,1,4,25,5,"POLYGON ((117.123707 -22.510008, 117.12334 -22.509758, 117.12334 -22.509541, 117.123706 -22.5092, 117.12394 -22.5092, 117.124212 -22.509495, 117.124246 -22.50968, 117.12394 -22.510008, 117.123707 -22.510008))"
Intersection 116,481873.35384200735,7511078.029011888,2,3,25,5,"POLYGON ((116.823967 -22.507089, 116.823262 -22.506772, 116.823263 -22.506555, 116.823934 -22.506317, 116.824133 -22.506384, 116.824133 -22.506394, 116.824084 -22.506981, 116.823974 -22.507089, 116.823967 -22.507089))"
Intersection 117,482709.7899600773,7513296.534525296,4,3,24,5,"POLYGON ((116.832158 -22.487042, 116.832076 -22.487011, 116.831968 -22.48694, 116.831763 -22.48675, 116.831687 -22.486604, 116.831639 -22.486495, 116.831605 -22.486391, 116.831605 -22.486284, 116.831838 -22.486284, 116.832241 -22.486857, 116.832204 -22.487042, 116.832158 -22.487042))"
Intersection 118,512795.802212692,7510570.392866331,7,3,24,5,"POLYGON ((117.124668 -22.511707, 117.124547 -22.511685, 117.124441 -22.511655, 117.124034 -22.511126, 117.124079 -22.510941, 117.124116 -22.510941, 117.124374 -22.511017, 117.124502 -22.511087, 117.124663 -22.511262, 117.124734 -22.511424, 117.124756 -22.511587, 117.124668 -22.511707))"
Intersection 119,481452.30975176767,7510946.077272916,2,4,23,5,"POLYGON ((116.819639 -22.508259, 116.819556 -22.508227, 116.819459 -22.508136, 116.819384 -22.508027, 116.819344 -22.507931, 116.819311 -22.507821, 116.819486 -22.507657, 116.819557 -22.507622, 116.819654 -22.507577, 116.819695 -22.50756, 116.819737 -22.507545, 116.819883 -22.5075, 116.819958 -22.5075, 116.819965 -22.507685, 116.819958 -22.507717, 116.819804 -22.508179, 116.819687 -22.508259, 116.819639 -22.508259))"
Intersection 120,481536.0595138154,7512710.769976391,2,3,23,5,"POLYGON ((116.82068 -22.49227, 116.820277 -22.492238, 116.820078 -22.492205, 116.820078 -22.492161, 116.820112 -22.492084, 116.820502 -22.491452, 116.820535 -22.491421, 116.820701 -22.491529, 116.820816 -22.492089, 116.820729 -22.49227, 116.82068 -22.49227))"
Intersection 121,482409.3670188774,7512706.134719127,2,3,23,5,"POLYGON ((116.829 -22.492264, 116.828895 -22.492233, 116.828813 -22.492202, 116.828716 -22.492111, 116.828682 -22.492035, 116.828682 -22.49175, 116.828915 -22.491751, 116.82923 -22.491797, 116.829394 -22.491951, 116.829352 -22.49199, 116.829138 -22.492189, 116.829124 -22.492202, 116.829 -22.492264))"
Intersection 122,483175.05975526787,7512459.753835522,4,3,23,5,"POLYGON ((116.836719 -22.494545, 116.836539 -22.494468, 116.836442 -22.494423, 116.836285 -22.494308, 116.836274 -22.494298, 116.83615 -22.494152, 116.836025 -22.493989, 116.83619 -22.493836, 116.836719 -22.494283, 116.836835 -22.494392, 116.836835 -22.494437, 116.836762 -22.494545, 116.836719 -22.494545))"
Intersection 123,482133.3243071983,7511619.597904223,3,4,22,5,"POLYGON ((116.826355 -22.502168, 116.826239 -22.50206, 116.826092 -22.501848, 116.826048 -22.501743, 116.826036 -22.501638, 116.826099 -22.501552, 116.826197 -22.501438, 116.826418 -22.501507, 116.826521 -22.50206, 116.826521 -22.502081, 116.826404 -22.502168, 116.826355 -22.502168))"
Intersection 124,482273.8181531605,7512585.428367605,2,3,22,5,"POLYGON ((116.827513 -22.493468, 116.827514 -22.492676, 116.827747 -22.492676, 116.827877 -22.492976, 116.827795 -22.493343, 116.827747 -22.493468, 116.827513 -22.493468))"
Intersection 125,485231.4958174547,7512522.550143156,3,3,22,5,"POLYGON ((116.85621 -22.494112, 116.856095 -22.494004, 116.856095 -22.493958, 116.856519 -22.49325, 116.856553 -22.493218, 116.856718 -22.493327, 116.856718 -22.493417, 116.856684 -22.493494, 116.856538 -22.493764, 116.85644 -22.4939, 116.856377 -22.493959, 116.856212 -22.494112, 116.85621 -22.494112))"
Intersection 126,515693.073555861,7510432.390636359,4,5,21,5,"POLYGON ((117.152754 -22.51285, 117.152413 -22.512624, 117.152344 -22.512516, 117.152281 -22.512412, 117.152299 -22.512316, 117.152446 -22.512258, 117.152525 -22.512263, 117.152621 -22.512348, 117.152787 -22.512501, 117.152919 -22.512696, 117.152754 -22.51285))"
Intersection 127,482202.7660989359,7512420.6013246365,3,3,21,5,"POLYGON ((116.826607 -22.494851, 116.826524 -22.494666, 116.826525 -22.494666, 116.827206 -22.494215, 116.827405 -22.494277, 116.827405 -22.494292, 116.827371 -22.494368, 116.827274 -22.494549, 116.827079 -22.494729, 116.826982 -22.494774, 116.826899 -22.494806, 116.826753 -22.494851, 116.826607 -22.494851))"
Intersection 128,482728.3692494633,7517443.15634691,3,3,21,5,"POLYGON ((116.832106 -22.449416, 116.832009 -22.44937, 116.831905 -22.449304, 116.831893 -22.449262, 116.831878 -22.449185, 116.831879 -22.449022, 116.831893 -22.448991, 116.832044 -22.448869, 116.832437 -22.449199, 116.832437 -22.449416, 116.832106 -22.449416))"
Intersection 129,483499.11217488226,7513353.512808044,1,3,21,5,"POLYGON ((116.839936 -22.486373, 116.839693 -22.486327, 116.839495 -22.48627, 116.839402 -22.486237, 116.839319 -22.486205, 116.839205 -22.486101, 116.839139 -22.486038, 116.83914 -22.485992, 116.839205 -22.485884, 116.839256 -22.485884, 116.840022 -22.486156, 116.840022 -22.486373, 116.839936 -22.486373))"
Intersection 130,515401.18138664914,7510280.373795133,2,3,21,5,"POLYGON ((117.149886 -22.514162, 117.149804 -22.51413, 117.149609 -22.51404, 117.149317 -22.513769, 117.149312 -22.513765, 117.149448 -22.513629, 117.149477 -22.513611, 117.150142 -22.513945, 117.150142 -22.514162, 117.149886 -22.514162))"
Intersection 131,482513.3468158544,7511696.097126012,9,4,20,5,"POLYGON ((116.830002 -22.501269, 116.82959 -22.501223, 116.829458 -22.500981, 116.829461 -22.500976, 116.830391 -22.500962, 116.830411 -22.500962, 116.830474 -22.501147, 116.830425 -22.501192, 116.830343 -22.501224, 116.830197 -22.501269, 116.830002 -22.501269))"
Intersection 132,481568.4418845285,7510831.204103421,4,3,20,5,"POLYGON ((116.820964 -22.50918, 116.820853 -22.50916, 116.820742 -22.509111, 116.820659 -22.50904, 116.820445 -22.508784, 116.820445 -22.508738, 116.820556 -22.50863, 116.820562 -22.50863, 116.820902 -22.508769, 116.820996 -22.508823, 116.821096 -22.50889, 116.8211 -22.509017, 116.821047 -22.509118, 116.820964 -22.50918))"
Intersection 133,482054.21174126427,7512651.811054295,2,3,20,5,"POLYGON ((116.825443 -22.492907, 116.825327 -22.492843, 116.825327 -22.492799, 116.825362 -22.492154, 116.825376 -22.492121, 116.825528 -22.492001, 116.825575 -22.492045, 116.825784 -22.49233, 116.825784 -22.492546, 116.825609 -22.492799, 116.825492 -22.492907, 116.825443 -22.492907))"
Intersection 134,486337.2868394251,7512768.073473429,2,3,20,5,"POLYGON ((116.867427 -22.491803, 116.866777 -22.491334, 116.866745 -22.491303, 116.86686 -22.491149, 116.866909 -22.491149, 116.866991 -22.491181, 116.867185 -22.491271, 116.867402 -22.491442, 116.867592 -22.49165, 116.867427 -22.491803))"
Intersection 135,486633.793657697,7513174.141183718,2,3,20,5,"POLYGON ((116.870363 -22.488117, 116.87028 -22.488085, 116.870022 -22.487978, 116.869828 -22.487857, 116.869697 -22.487633, 116.869663 -22.487556, 116.869663 -22.487511, 116.869846 -22.487419, 116.870348 -22.487841, 116.870412 -22.4879, 116.870528 -22.488008, 116.870528 -22.48803, 116.870411 -22.488117, 116.870363 -22.488117))"
Intersection 136,481691.42447758396,7511350.395336149,3,4,19,5,"POLYGON ((116.82222 -22.504467, 116.821962 -22.50439, 116.821657 -22.504192, 116.821667 -22.503997, 116.821714 -22.503982, 116.821866 -22.503966, 116.822351 -22.504282, 116.822384 -22.504313, 116.822269 -22.504467, 116.82222 -22.504467))"
Intersection 137,481769.8212564763,7511321.394316088,1,4,18,5,"POLYGON ((116.82269 -22.504747, 116.822593 -22.504694, 116.822332 -22.504526, 116.822283 -22.504481, 116.822343 -22.504296, 116.823144 -22.504297, 116.823243 -22.504466, 116.823226 -22.504482, 116.822916 -22.504695, 116.822819 -22.504747, 116.82269 -22.504747))"
Intersection 138,478406.10747819545,7515262.452766446,2,4,18,5,"POLYGON ((116.789979 -22.469074, 116.789829 -22.468952, 116.789815 -22.46892, 116.78983 -22.468681, 116.790092 -22.468663, 116.790286 -22.468663, 116.790405 -22.468709, 116.790417 -22.46874, 116.790405 -22.468925, 116.789979 -22.469074))"
