INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Centerline Intersection 23,712239.5763733205,7646462.044776942,6,3,43,5,CENTERLINE_GRAPH,,"POLYGON ((119.045455 -21.271694, 119.045343 -21.271619, 119.045294 -21.271574, 119.045259 -21.271498, 119.045209 -21.271363, 119.045206 -21.271182, 119.045311 -21.270913, 119.045414 -21.270846, 119.045509 -21.270799, 119.045654 -21.270798, 119.045706 -21.270808, 119.0459 -21.270896, 119.045965 -21.270992, 119.045971 -21.271032, 119.045966 -21.271083, 119.045933 -21.27116, 119.045886 -21.271251, 119.045825 -21.271355, 119.045745 -21.271478, 119.045731 -21.271492, 119.045617 -21.271602, 119.045602 -21.271615, 119.045474 -21.271694, 119.045455 -21.271694))"
Centerline Intersection 24,712890.1013093181,7647418.690176814,16,3,42,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.05176 -21.262948, 119.051422 -21.262907, 119.051318 -21.262848, 119.051305 -21.262838, 119.051268 -21.262758, 119.051491 -21.262094, 119.051602 -21.26201, 119.051644 -21.262004, 119.051698 -21.262009, 119.051892 -21.262052, 119.051974 -21.262083, 119.052023 -21.262127, 119.052146 -21.262418, 119.051922 -21.262853, 119.051808 -21.262947, 119.05176 -21.262948))"
Centerline Intersection 25,712329.5335490926,7650945.81283269,10,3,36,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.045402 -21.230964, 119.045325 -21.230902, 119.045324 -21.230857, 119.045399 -21.230748, 119.045668 -21.230495, 119.045774 -21.230439, 119.045833 -21.230413, 119.045874 -21.230395, 119.045915 -21.23038, 119.046107 -21.230378, 119.046224 -21.230485, 119.046288 -21.230588, 119.046323 -21.230664, 119.046324 -21.230755, 119.046291 -21.230832, 119.046244 -21.230877, 119.046163 -21.23091, 119.046019 -21.230957, 119.045402 -21.230964))"
Centerline Intersection 27,712932.7197194188,7646862.62643406,17,3,35,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.052494 -21.267965, 119.052269 -21.267915, 119.051844 -21.267788, 119.051813 -21.267306, 119.051851 -21.267232, 119.05197 -21.267153, 119.05225 -21.26706, 119.052298 -21.267059, 119.052399 -21.267062, 119.052429 -21.267089, 119.052517 -21.267571, 119.052521 -21.267842, 119.052518 -21.267868, 119.052494 -21.267965))"
Centerline Intersection 31,712733.3863741837,7646913.974327807,3,3,33,5,CENTERLINE_GRAPH,,"POLYGON ((119.050617 -21.267432, 119.050244 -21.267362, 119.050024 -21.267296, 119.04981 -21.267184, 119.049761 -21.26714, 119.049795 -21.266954, 119.049963 -21.266793, 119.05009 -21.26668, 119.050125 -21.266679, 119.050561 -21.266855, 119.050678 -21.266937, 119.050697 -21.267246, 119.050618 -21.267432, 119.050617 -21.267432))"
Centerline Intersection 33,712720.2298079849,7648088.098531974,5,3,32,5,CENTERLINE_GRAPH,,"POLYGON ((119.050072 -21.256931, 119.050038 -21.256918, 119.049872 -21.256766, 119.049597 -21.256336, 119.049562 -21.256242, 119.049575 -21.256131, 119.049594 -21.256119, 119.04969 -21.256118, 119.049806 -21.256128, 119.05027 -21.256247, 119.050386 -21.256323, 119.050387 -21.256354, 119.050201 -21.256851, 119.050072 -21.256931))"
Centerline Intersection 34,713733.3231498138,7650600.554822409,10,3,32,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.059402 -21.234, 119.059011 -21.233915, 119.059008 -21.233698, 119.059357 -21.233229, 119.059405 -21.233183, 119.059486 -21.23315, 119.059534 -21.23315, 119.05962 -21.233332, 119.059853 -21.233886, 119.059866 -21.233919, 119.05982 -21.233963, 119.059739 -21.233996, 119.059402 -21.234))"
Centerline Intersection 35,713241.2498714547,7649680.5202854825,6,6,31,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.054799 -21.242455, 119.054732 -21.242449, 119.054407 -21.241963, 119.054338 -21.241856, 119.054317 -21.241785, 119.054323 -21.241779, 119.054466 -21.241687, 119.055184 -21.241782, 119.055259 -21.241966, 119.054963 -21.242446, 119.054847 -21.242455, 119.054799 -21.242455))"
Centerline Intersection 39,713088.3570419563,7647318.658793635,4,3,31,5,CENTERLINE_GRAPH,,"POLYGON ((119.053827 -21.263703, 119.053629 -21.263702, 119.053379 -21.263586, 119.053193 -21.263499, 119.053192 -21.263409, 119.053201 -21.263194, 119.053302 -21.263028, 119.05335 -21.263028, 119.053737 -21.263113, 119.053979 -21.2632, 119.054061 -21.263231, 119.054095 -21.263244, 119.05411 -21.263276, 119.054098 -21.263461, 119.053861 -21.263699, 119.053827 -21.263703))"
Centerline Intersection 40,713901.9499635196,7648041.179649031,8,3,31,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.061613 -21.257059, 119.061222 -21.257037, 119.061014 -21.256943, 119.060972 -21.256842, 119.060949 -21.256631, 119.060948 -21.256496, 119.061115 -21.25639, 119.061753 -21.256603, 119.06185 -21.256676, 119.061869 -21.256727, 119.061858 -21.256877, 119.061649 -21.257047, 119.061613 -21.257059))"
Centerline Intersection 43,713172.1243866448,7651015.05869722,5,3,30,5,CENTERLINE_GRAPH,,"POLYGON ((119.053606 -21.230323, 119.053535 -21.230139, 119.053743 -21.229677, 119.053849 -21.229516, 119.053897 -21.229516, 119.054099 -21.22967, 119.054467 -21.23001, 119.054455 -21.230114, 119.054373 -21.230223, 119.053668 -21.230322, 119.053606 -21.230323))"
Centerline Intersection 44,713258.3119310052,7650977.609928706,2,3,29,5,CENTERLINE_GRAPH,,"POLYGON ((119.054975 -21.230803, 119.05437 -21.23025, 119.054355 -21.230237, 119.054432 -21.230051, 119.054799 -21.22994, 119.05503 -21.229937, 119.055137 -21.230693, 119.055137 -21.230695, 119.055023 -21.230802, 119.054975 -21.230803))"
Centerline Intersection 45,713612.7213781361,7648315.000000002,2,3,29,5,CENTERLINE_GRAPH,,"POLYGON ((119.058273 -21.254698, 119.058263 -21.253933, 119.058494 -21.25393, 119.05896 -21.254199, 119.058963 -21.254416, 119.058504 -21.254696, 119.058273 -21.254698))"
Centerline Intersection 46,712646.2096709107,7648463.980547884,2,3,28,5,CENTERLINE_GRAPH,,"POLYGON ((119.049085 -21.253488, 119.04891 -21.253391, 119.048778 -21.253129, 119.048806 -21.252923, 119.049189 -21.252671, 119.049386 -21.252631, 119.049435 -21.252676, 119.049683 -21.25317, 119.049718 -21.253246, 119.049718 -21.25329, 119.049085 -21.253488))"
